Key,KO,EN,JA
monsters.giant_spider.description,"성인 남성보다 큰 독거미. 속도는 약간 느려졌지만 강인한 외골격이 피해를 줄여준다.","A poisonous spider larger than an adult male. Speed is slightly reduced, but a tough exoskeleton reduces damage.","成人男性より大きな毒グモ。速度はやや遅くなったが、強靭な外骨格がダメージを減らす。"
monsters.giant_spider.displayName,"거대 거미",Giant Spider,巨大クモ
monsters.giant_spider.tip,"동굴 거미의 강화형. 높은 체력에 빠른 속도가 위협적이다. CC 우선 후 집중 딜로 처리하라.","Enhanced version of the cave spider. High HP and fast speed are threatening. Prioritize CC then focus damage.","洞窟クモの強化型。高い体力に速い速度が脅威だ。CCを優先して集中攻撃で処理しろ。"
monsters.goblin.description,"숲 속 쓰레기 더미에서 태어난 듯한 작은 야만족. 개별 위협은 낮지만 무리 지어 방어선을 흐트러뜨린다.","A small barbarian tribe that seems to have been born from a trash heap in the forest. Individually low threat, but they disturb the defense line in groups.","森の中のゴミの山から生まれたような小さな野蛮族。個々の脅威は低いが、群れをなして防衛線を乱す。"
monsters.goblin.displayName,"고블린",Goblin,ゴブリン
monsters.goblin.tip,"초반에 등장하는 가장 기본적인 적. 근거리 영웅 1~2명만 있어도 무난히 처리된다. 물량으로 밀어붙이니 광역기를 아끼지 마라.","The most basic enemy that appears in the early stages. Can be easily handled with just 1-2 melee heroes. They push with numbers, so don't hesitate to use AoE skills.","序盤に登場する最も基本的な敵。近距離英雄1〜2人だけでも無難に処理される。物量で押し寄せるので、広域スキルを惜しむな。"
monsters.goblin_crossbow.description,"장거리 석궁으로 치명적인 볼트를 날린다. 전선 후방에 위치해 아군 원딜을 괴롭힌다.","Fires deadly bolts with a long-range crossbow. Located behind the front lines, harassing allied ranged DPS.","長距離石弓で致命的なボルトを飛ばす. 前線の後方に位置し、味方の遠距離アタッカーを苦しめる。","長距離石弓で致命的なボルトを飛ばす。前線の後方に位置し、味方の遠距離アタッカーを苦しめる。"
monsters.goblin_crossbow.displayName,"고블린 석궁병",Goblin Crossbowman,ゴブリン石弓兵
monsters.goblin_crossbow.tip,"원거리 공격력이 상당히 높다. CC 스킬로 묶거나 빠른 원딜 영웅으로 우선 제거하라.","Ranged attack power is quite high. Root them with CC skills or eliminate them first with fast ranged heroes.","遠距離攻撃力がかなり高い。CCスキルで縛るか、素早い遠距離英雄で優先的に排除しろ。"
monsters.goblin_mutant.description,"알 수 없는 약물로 인해 몸이 비정상적으로 커진 고블린. 빠르고 난폭하며 눈빛이 흐릿하다.","A goblin abnormally enlarged by an unknown drug. Fast, violent, and has a blurry gaze.","未知の薬物により体が異常に大きくなったゴブリン. 速くて乱暴で、目が濁っている。","未知の薬物により体が異常に大きくなったゴブリン。速くて乱暴で、目が濁っている。"
monsters.goblin_mutant.displayName,"돌연변이 고블린",Goblin Mutant,変異ゴブリン
monsters.goblin_mutant.tip,"빠른 이동 속도와 높은 체력이 특징. 방어선을 뚫기 전 CC로 발을 묶어야 한다.","Characterized by fast movement speed and high HP. Must be rooted with CC before breaching the defense line.","速い移動速度と高い体力が特徴。防衛線を突破される前にCCで足止めしなければならない。"
monsters.goblin_sapper.description,"폭발물을 가득 안고 미친 듯이 벽을 향해 돌진하는 자폭 특공대. 영웅은 안중에도 없다. 오직 벽이 목표.","A suicide squad that rushes madly toward the wall with explosives. They don't care about heroes. Their only goal is the wall.","爆発物を抱えて狂ったように壁に向かって突進する自爆特攻隊。英雄は眼中にない。ただ壁が目標。"
monsters.goblin_sapper.displayName,"고블린 자폭병",Goblin Sapper,ゴブリン自爆兵
monsters.goblin_sapper.tip,"절대 방치하면 안 된다. 벽에 닿는 순간 최대 체력의 50%를 날려버린다. CC 캐릭터가 최우선으로 스턴을 걸어야 한다.","Must never be left alone. The moment it touches the wall, it blows away 50% of its max HP. CC characters must prioritize stunning it.","絶対に放置してはいけない。壁に触れた瞬間、最大体力の50%を吹き飛ばす。CCキャラクターが最優先でスタンをかけなければならない。"
monsters.goblin_shaman.description,"원시적인 독 마법을 사용하는 부족 주술사. 독 안개를 뿜어 아군을 서서히 약화시킨다.","A tribal shaman using primitive poison magic. Spews poison mist to slowly weaken allies.","原始敵인 毒 마법을 사용하는 不足 呪術사. 毒 霧를 뿜어 味方을 서서히 약화시킨다.","原始的な毒魔法を使用する部族の呪術師。毒霧を噴いて味方を徐々に弱体化させる。"
monsters.goblin_shaman.displayName,"고블린 주술사",Goblin Shaman,ゴブリン呪術師
monsters.goblin_shaman.tip,"원거리 주술 공격으로 힐러에게 부담을 준다. 아군 뒤에서 안전하게 딜하니 우선 처치 대상으로 지정하라.","Ranged spell attacks put a burden on healers. Deals damage safely from behind enemies, so prioritize eliminating it.","遠距離呪術攻撃でヒーラーに負担をかける。敵の後ろから安全に攻撃してくるので、優先排除対象に指定しろ。"
monsters.goblin_slinger.description,"돌을 던져 원거리 공격을 하는 고블린. 가냘프지만 집단으로 원딜 영웅을 노린다.","A goblin that attacks from a distance by throwing stones. Frail, but targets ranged heroes in groups.","石を投げて遠距離攻撃をするゴブリン。か弱い集団で遠距離英雄を狙う。"
monsters.goblin_slinger.displayName,"고블린 돌팔매병",Goblin Slinger,ゴブリン投石兵
monsters.goblin_slinger.tip,"원거리 적. 탱커를 뛰어넘어 후방 영웅을 노리는 패턴에 주의. CC 영웅으로 이동을 막으면 효과적이다.","Ranged enemy. Beware of patterns that jump over tanks to target rear heroes. Effective to block movement with CC heroes.","遠距離の敵。タンクを飛び越えて後方の英雄を狙うパターンに注意。CC英雄で移動を防ぐと効果的だ。"
monsters.gold_golem.description,"황금으로 빚어진 골렘. 방어력 150으로 전장에서 가장 단단한 존재 중 하나다.","A golem forged from gold. With 150 defense, it is one of the toughest beings on the battlefield.","黄金で作られたゴーレム。防御力150で戦場で最も硬い存在の一つだ。"
monsters.gold_golem.displayName,"금 골렘",Gold Golem,金ゴーレム
monsters.gold_golem.tip,"방어력 150! 집중 다단 히트와 방어 무시 시너지가 필수. 시간이 걸려도 꼭 처치하라.","Defense 150! Focused multi-hit and defense-ignoring synergy are essential. Make sure to eliminate it even if it takes time.","防御力150！集中的な多段ヒットと防御無視シナジーが必須。時間がかかっても必ず倒せ。"
monsters.hobgoblin.description,"고블린보다 덩치가 크고 지능도 높다. 몽둥이 한 방에 웬만한 영웅이 비틀거린다.","Larger and smarter than goblins. A single club swing will make most heroes stagger.","ゴブリンより体が大きく知能も高い。棍棒の一撃で大抵の英雄がよろめく。"
monsters.hobgoblin.displayName,"홉고블린",Hobgoblin,ホブゴブリン
monsters.hobgoblin.tip,"고블린의 강화형. 체력과 공격력이 올라갔다. 탱커를 전면에 배치해 어그로를 집중시켜라.","Enhanced version of the goblin. HP and attack power have increased. Place tanks at the front to focus aggro.","ゴブリンの強化型。体力と攻撃力が上がった。タンクを前面に配置してヘイトを集中させろ。"
monsters.ice_spirit.description,"얼음 결정으로 이루어진 정령. 공격마다 명중한 영웅의 이동 속도를 저하시킨다.","A spirit made of ice crystals. Reduces the movement speed of heroes hit with every attack.","氷の結晶で構成された精霊。攻撃ごとに命中した英雄の移動速度を低下させる。"
monsters.ice_spirit.displayName,"냉기 정령",Ice Spirit,氷の精霊
monsters.ice_spirit.tip,"냉기 공격으로 아군 영웅을 슬로우시킨다. 힐러가 슬로우에 걸리면 치료가 늦어지니 주의.","Slows allied heroes with frost attacks. Be careful as healing will be delayed if healers are slowed.","冷気攻撃で味方英雄にスロウをかける。ヒーラーがスロウにかかると回復が遅れるので注意。"
monsters.iron_golem.description,"용광로에서 직접 주조된 철제 골렘. 방어력 100으로 대부분의 물리 공격을 무효화한다.","An iron golem cast directly from a furnace. Nullifies most physical attacks with 100 defense.","溶鉱炉で直接鋳造された鉄のゴーレム。防御力100でほとんどの物理攻撃を無効化する。"
monsters.iron_golem.displayName,"철 골렘",Iron Golem,鉄ゴーレム
monsters.iron_golem.tip,"방어력 100. 일반 물리 딜은 거의 의미 없다. 마법 피해 스킬이나 다단 히트 전문 영웅이 필요하다.","Defense 100. Normal physical damage is almost meaningless. Needs magic damage skills or multi-hit specialized heroes.","防御力100。一般的な物理ダメージはほとんど意味がない。魔法ダメージスキルや多段ヒット専門英雄が必要だ。"
monsters.lava_elemental.description,"용암이 의지를 얻은 존재. 체력 500에 강력한 화염 타격을 날린다. 근처에만 있어도 뜨겁다.","A being of magma that has gained a will. Delivers powerful fire strikes with 500 HP. Hot just being nearby.","溶岩が意志を得た存在。体力500で強力な火炎打撃を放つ。近くにいるだけでも熱い。"
monsters.lava_elemental.displayName,"용암 정령",Lava Elemental,溶岩の精霊
monsters.lava_elemental.tip,"체력 500의 고급 정령. 강한 공격력으로 탱커도 빠르게 무너뜨린다. 힐 지원 필수.","Advanced spirit with 500 HP. Its strong attack power quickly takes down even tanks. Heal support is essential.","体力500の高級精霊。強い攻撃力でタンクも素早く崩す。ヒール支援必須。"
monsters.lich.description,"불사의 마법으로 스스로를 언데드로 만든 강대한 마법사. 강력한 주문으로 전장 전체를 위협한다.","A mighty mage who turned themselves into an undead through immortal magic. Threatens the entire battlefield with powerful spells.","不死の魔法で自らをアンデッドにした強大な魔道士。強力な呪文で戦場全体を脅かす。"
monsters.lich.displayName,"리치",Lich,リッチ
monsters.lich.tip,"매우 높은 체력과 방어력. CC로 이동을 막고 집중 딜로 빠르게 제거하라. 자칫 방치하면 파티가 무너진다.","Very high HP and defense. Block movement with CC and eliminate quickly with focused damage. If left unchecked, the party will collapse.","非常に高い体力と防御力。CCで移動を防ぎ、集中攻撃で素早く排除しろ。放置するとパーティが崩壊する。"
monsters.lich_king.description,"언데드의 왕. 어픽스: 소환 — 주기적으로 언데드 병사를 소환하고 아군 어그로를 빼앗는다.","King of the undead. Affix: Summon — Periodically summons undead soldiers and steals ally aggro.","アンデッドの王。アフィックス：召喚 — 定期的にアンデッド兵士を召喚し、味方のヘイトを奪う。"
monsters.lich_king.displayName,"리치 군주",Lich King,リッチキング
monsters.lich_king.tip,"Wave 10 보스. 소환된 언데드가 탱커 어그로를 분산시킨다. 광역기로 소환수를 빠르게 제거하라.","Wave 10 Boss. Summoned undead disperse tank aggro. Eliminate summons quickly with AoE skills.","Wave 10 ボス。召喚されたアンデッドがタンクのヘイトを分散させる。広域スキルで召喚獣を素早く排除しろ。"
monsters.lightning_spirit.description,"전기 에너지가 응집된 정령. 빠른 속도로 접근해 번개로 공격하며 근처 아군에게도 감전 피해를 준다.","A spirit made of condensed electrical energy. Approaches quickly, attacks with lightning, and deals shock damage to nearby allies.","電気エネルギーが凝縮された精霊。速い速度で接近して雷で攻撃し、近くの味方にも感電ダメージを与える。"
monsters.lightning_spirit.displayName,"번개 정령",Lightning Spirit,雷の精霊
monsters.lightning_spirit.tip,"원거리 번개 공격. 방어력 0으로 처치는 쉽다. 빠른 속도로 원딜 영웅을 노리는 패턴을 주의.","Ranged lightning attacks. Easy to kill with 0 defense. Beware of its pattern of targeting ranged heroes with fast speed.","遠距離の雷攻撃。防御力0で倒すのは容易。速い速度で遠距離英雄を狙うパターンに注意。"
monsters.magma_hurler.description,"내부에 용암이 흐르는 골렘. 던지는 용암 덩어리가 땅에 닿으면 화염 웅덩이를 만든다.","A golem with magma flowing inside. Throws magma chunks that create fire pools upon hitting the ground.","内部に溶岩が流れるゴーレム。投げる溶岩の塊が地面に触れると炎の水たまりを作る。"
monsters.magma_hurler.displayName,"용암 투척 골렘",Magma Hurler,マグマ投げゴーレム
monsters.magma_hurler.tip,"방어력 80의 원거리 골렘. 용암 투척은 주변 영웅에게도 피해를 줄 수 있다. 다단 히트가 핵심.","Ranged golem with 80 defense. Magma throws can also damage nearby heroes. Multi-hit is key.","防御力80の遠距離ゴーレム。溶岩投げは周囲の英雄にもダメージを与える可能性がある。多段ヒットが鍵。"
monsters.necromancer.description,"죽은 자를 소환하는 강력한 마법사. 배후에서 지원하며 언데드 군세를 불린다.","A powerful mage who summons the dead. Supports from behind and swells the undead army.","死者を召喚する強力な魔道士。背後から支援し、アンデッドの軍勢を増やす。"
monsters.necromancer.displayName,"네크로맨서",Necromancer,死霊術師
monsters.necromancer.tip,"방치하면 주변에 언데드가 계속 소환된다. 원거리 딜러로 최우선 제거하라.","If left alone, undead will constantly be summoned around it. Prioritize elimination with ranged damage dealers.","放置すると周囲にアンデッドが召喚され続ける。遠距離アタッカーで最優先で排除しろ。"
monsters.orc_grunt.description,"전쟁에 길들여진 오크 보병. 체력과 방어력을 겸비한 균형 잡힌 강적.","A war-trained Orc infantryman. A well-balanced strong enemy with both HP and defense.","戦争に飼いならされたオーク歩兵。体力と防御力を兼ね備えたバランスの取れた強敵。"
monsters.orc_grunt.displayName,"오크 돌격병",Orc Grunt,オーク歩兵
monsters.orc_grunt.tip,"체력 400, 방어력 25의 균형형. 탱커 1명이 막기엔 벅차다. 소환수로 어그로를 분산하라.","A balanced type with 400 HP and 25 defense. Hard for 1 tank to block. Disperse aggro with summons.","体力400、防御力25のバランス型。タンク1人で防ぐのは厳しい。召喚獣でヘイトを分散させろ。"
monsters.orc_shaman.description,"부족의 주술사. 번개 주문과 독 안개로 아군을 지원하며 원거리에서 안전하게 활동한다.","Tribal shaman. Supports allies with lightning spells and poison mist, operating safely from a distance.","部族の呪術師。雷の呪文と毒霧で味方を支援し、遠距離から安全に活動する。"
monsters.orc_shaman.displayName,"오크 주술사",Orc Shaman,オーク呪術師
monsters.orc_shaman.tip,"오크 돌격병 뒤에 숨어 안전하게 딜한다. 주술사부터 처치해야 아군 피해를 줄일 수 있다.","Deals damage safely hiding behind Orc grunts. Must kill the shaman first to reduce ally damage.","オーク歩兵の後ろに隠れて安全に攻撃する。呪術師から倒さなければ味方の被害を減らせない。"
monsters.orc_warrior.description,"수십 번의 전투에서 살아남은 오크 정예 전사. 체력 700에 강력한 일격은 탱커도 금방 쓰러뜨린다.","An elite Orc warrior who survived dozens of battles. With 700 HP, its powerful strike can quickly take down a tank.","数十回の戦闘を生き延びたオークの精鋭戦士。体力700の強力な一撃はタンクもすぐに倒す。"
monsters.orc_warrior.displayName,"오크 전사",Orc Warrior,オーク戦士
monsters.orc_warrior.tip,"체력 700, 방어력 40의 강력한 근접 적. 탱커 2명이 필요할 수 있다. 힐러 지원을 아끼지 마라.","A strong melee enemy with 700 HP and 40 defense. May require 2 tanks. Do not spare healer support.","体力700、防御力40の強力な近接敵。タンク2人が必要になるかもしれない。ヒーラーの支援を惜しむな。"
monsters.plague_beast.description,"역병으로 인해 변이된 거대 언데드. HP 2500, 접근 시 역병 구름으로 아군 HP를 갉아먹는다.","A giant undead mutated by plague. HP 2500, eats away ally HP with plague clouds upon approach.","疫病により変異した巨大なアンデッド。HP2500、接近時に疫病の雲で味方のHPを削る。"
monsters.plague_beast.displayName,"역병 괴수",Plague Beast,疫病獣
monsters.plague_beast.tip,"체력 2500! 아군 전체 화력을 집중하라. 힐러가 없으면 역병 피해로 파티 전체가 쓰러진다.","HP 2500! Focus the entire party's firepower. Without healers, the entire party will fall to plague damage.","体力2500！味方全体の火力を集中させろ。ヒーラーがいなければ疫病ダメージでパーティ全体が倒れる。"
monsters.plague_mage.description,"역병을 마법으로 조율하는 어둠의 마법사. 원거리에서 역병을 퍼뜨려 아군을 서서히 죽게 만든다.","A dark mage who tunes plague with magic. Spreads plague from a distance to slowly kill allies.","疫病を魔法で操る闇の魔道士。遠距離から疫病を広め、味方を徐々に死に至らしめる。"
monsters.plague_mage.displayName,"역병 마법사",Plague Mage,疫病の魔道士
monsters.plague_mage.tip,"역병 공격으로 지속 피해를 준다. 힐러 부담이 극도로 증가하니 다른 적보다 우선 처치하라.","Deals continuous damage with plague attacks. Extreme burden on healers, so prioritize killing it over other enemies.","疫病攻撃で持続ダメージを与える。ヒーラーの負担が極端に増加するので、他の敵よりも優先して倒せ。"
monsters.poison_spirit.description,"독기가 응집된 정령. 접촉만으로도 중독을 유발하며 천천히 모든 아군 영웅의 체력을 갉아먹는다.","A spirit of condensed miasma. Causes poisoning just by contact and slowly eats away the health of all allied heroes.","毒気が凝縮された精霊。接触するだけで中毒を引き起こし、ゆっくりとすべての味方英雄の 体力을 갉아먹는다.","毒気が凝縮された精霊。接触するだけで中毒を引き起こし、ゆっくりとすべての味方英雄の体力を削る。"
monsters.poison_spirit.displayName,"독 정령",Poison Spirit,毒の精霊
monsters.poison_spirit.tip,"독 오라로 근처 아군이 지속 피해를 받는다. 힐러의 부담이 급증하니 빠르게 처치하라.","Nearby allies take continuous damage from the poison aura. Healer burden skyrockets, so kill it quickly.","毒オーラで近くの味方が持続ダメージを受ける。ヒーラーの負担が急増するので素早く倒せ。"
monsters.rock_hurler.description,"바위를 집어 던지는 골렘. 원거리에서 돌을 투척해 방어선 뒤쪽까지 피해를 준다.","A golem that picks up and throws rocks. Throws stones from a distance, damaging behind the defense line.","岩を拾って投げるゴーレム。遠距離から石を投擲し、防衛線の後方までダメージを与える。"
monsters.rock_hurler.displayName,"바위 투척 골렘",Rock Hurler,岩投げゴーレム
monsters.rock_hurler.tip,"원거리 고방어 골렘. 다중 타격 스킬이 필수. 이동이 느려 방어선 형성에 여유가 있다.","Ranged high-defense golem. Multi-hit skills are essential. Slow movement gives leeway to form a defense line.","遠距離の高防御ゴーレム。多段ヒットスキルが必須。移動が遅く防衛線形成に余裕がある。"
monsters.sapper_commander.description,"자폭 부대를 이끄는 광기 넘치는 지휘관. 자신도 폭탄을 짊어지고 돌진하며 부하들을 소환한다.","A mad commander leading the suicide squad. Charges carrying bombs himself and summons subordinates.","自爆部隊を率いる狂気に満ちた指揮官。自身も爆弾を背負って突進し、部下を召喚する。"
monsters.sapper_commander.displayName,"자폭 지휘관",Sapper Commander,自爆指揮官
monsters.sapper_commander.tip,"보스 자신도 자폭병이라 벽에 닿으면 대량의 피해를 준다. 광폭화 전에 CC를 집중시키고 빠르게 제거하라.","The boss itself is a suicide bomber, dealing massive damage upon touching the wall. Focus CC and kill quickly before enrage.","ボス自身も自爆兵であり、壁に触れた瞬間、大量のダメージを与える。狂暴化前にCCを集中させて素早く排除しろ。"
monsters.shadow_stalker.description,"어둠 속에서 은신하다 기습하는 암살자. 속도 4.0으로 아군 뒤쪽 원딜·힐러를 노린다.","An assassin who stealths in the darkness and ambushes. Targets ranged DPS/healers in the rear at a speed of 4.0.","闇の中で隠密行動し奇襲する暗殺者。速度4.0で味方の後方の遠距離アタッカー・ヒーラーを狙う。"
monsters.shadow_stalker.displayName,"그림자 침략자",Shadow Stalker,影の追跡者
monsters.shadow_stalker.tip,"빠른 속도로 취약한 영웅을 노린다. CC 영웅이 필수. 암살당하기 전에 먼저 눈으로 추적하라.","Targets vulnerable heroes at high speed. CC heroes are essential. Track it with your eyes before getting assassinated.","速い速度で脆弱な英雄を狙う。CC英雄が必須。暗殺される前にまず目で追跡しろ。"
monsters.skeleton.description,"마법으로 소환된 최하급 언데드. 뼈만 남은 몸이지만 검을 휘두르는 본능은 살아있다.","The lowest tier undead summoned by magic. A body of just bones, but the instinct to swing a sword remains.","魔法で召喚された最下級のアンデッド。骨だけの体だが、剣を振るう本能は生きている。"
monsters.skeleton.displayName,"해골 병사",Skeleton,スケルトン
monsters.skeleton.tip,"고블린과 함께 초반에 등장하는 기본 근접 적. 어떤 영웅이든 무난히 처리 가능하다.","A basic melee enemy appearing early alongside goblins. Any hero can handle them easily.","ゴブリンと共に序盤に登場する基本的な近接敵。どの英雄でも無難に処理可能だ。"
monsters.skeleton_archer.description,"활 솜씨를 기억하는 해골 병사. 수풀 너머에서 날아오는 화살에 아군이 속수무책으로 쓰러진다.","A skeleton soldier remembering its archery skills. Allies fall helplessly to arrows flying from beyond the bushes.","弓の腕前を覚えている骸骨兵士。茂みの向こうから飛んでくる矢に味方がなすすべもなく倒れる。"
monsters.skeleton_archer.displayName,"해골 궁수",Skeleton Archer,スケルトン射手
monsters.skeleton_archer.tip,"원거리 초반 적. CC 또는 원딜 영웅으로 전열 영웅 뒤의 해골 궁수를 노려라.","Early game ranged enemy. Target the skeleton archer behind the frontlines with CC or ranged DPS heroes.","遠距離の序盤の敵。CCまたは遠距離英雄で前列の英雄の後ろにいるスケルトン射手を狙え。"
monsters.skull_knight.description,"기사의 기억과 투지를 간직한 고급 언데드. 중장 갑옷 파편 위로 이상한 기운이 맴돈다.","An advanced undead retaining the memories and fighting spirit of a knight. Strange energy hovers over heavy armor fragments.","騎士の記憶と闘志を秘めた高級アンデッド。重装甲の破片の上に奇妙なオーラが漂う。"
monsters.skull_knight.displayName,"스컬 나이트",Skull Knight,スカルナイト
monsters.skull_knight.tip,"방어력과 체력을 겸비한 중급 근접 적. 탱커로 어그로를 유지하면서 딜러로 꾸준히 공략하라.","A mid-tier melee enemy with both defense and HP. Maintain aggro with tanks and consistently attack with damage dealers.","防御力と体力を兼ね備えた中級の近接敵。タンクでヘイトを維持しながらアタッカーで着実に攻略しろ。"
monsters.sniper.description,"사망의 세계에서 더욱 예리해진 저격의 달인. 단 한 발로 아군 핵심 영웅을 쓰러뜨린다.","A master sniper sharper than ever in the world of death. Takes down a core ally hero with a single shot.","死の世界でさらに鋭くなった狙撃の達人。たった一発で味方の中核英雄を倒す。"
monsters.sniper.displayName,"정예 저격수",Elite Sniper,精鋭狙撃手
monsters.sniper.tip,"빠른 속도와 높은 딜 조합이 위협적이다. 탱커로 어그로를 잡아 원딜·힐러를 보호하라.","The combination of fast speed and high damage is threatening. Grab aggro with tanks to protect ranged DPS/healers.","速い速度と高い火力の組み合わせが脅威だ。タンクでヘイトを集め、遠距離アタッカー・ヒーラーを保護しろ。"
monsters.stone_golem.description,"산에서 깎아낸 거대한 돌로 만들어진 골렘. 일반 무기로는 거의 흠집도 내지 못한다.","A golem made from giant stones carved from a mountain. Normal weapons can barely scratch it.","山から切り出した巨大な石で作られたゴーレム。通常の武器ではほとんど傷もつけられない。"
monsters.stone_golem.displayName,"돌 골렘",Stone Golem,石のゴーレム
monsters.stone_golem.tip,"방어력 60! 단순 공격은 최소 피해만 입힌다. 다단 히트 스킬 또는 방어 무시 시너지를 활용하라.","Defense 60! Simple attacks deal minimal damage. Utilize multi-hit skills or defense-ignoring synergy.","防御力60！単調な攻撃は最小限のダメージしか与えられない。多段ヒットスキルや防御無視シナジーを活用しろ。"
monsters.storm_elemental.description,"폭풍과 번개를 지휘하는 정령. 원거리에서 연쇄 번개로 여러 아군에게 동시 피해를 준다.","A spirit commanding storms and lightning. Deals simultaneous damage to multiple allies from a distance with chain lightning.","嵐と雷を指揮する精霊。遠距離から連鎖稲妻で複数の味方に同時にダメージを与える。"
monsters.storm_elemental.displayName,"폭풍 정령",Storm Elemental,嵐の精霊
monsters.storm_elemental.tip,"연쇄 번개로 여러 영웅에게 동시 피해. 파티 내 방어력 높은 영웅이 앞에 서야 피해를 분산할 수 있다.","Simultaneous damage to multiple heroes with chain lightning. Heroes with high defense in the party must stand in front to disperse damage.","連鎖稲妻で複数の英雄に同時ダメージ。パーティ内の防御力が高い英雄が前に立たなければダメージを分散できない。"
monsters.thunder_tyrant.description,"번개와 폭풍을 지배하는 압도적인 존재. 어픽스: AOE 강타 — 번개 폭풍을 일으켜 전장을 초토화.","An overwhelming presence ruling lightning and storms. Affix: AoE Strike — Devastates the battlefield by causing a lightning storm.","雷と嵐を支配する圧倒的な存在。アフィックス：AOE強打 — 雷雨を起こして戦場を焦土化。"
monsters.thunder_tyrant.displayName,"폭풍 폭군",Storm Tyrant,嵐の暴君
monsters.thunder_tyrant.tip,"Wave 35 보스. 빠른 속도와 원거리 공격 조합. AOE 강타의 범위가 매우 넓다. 힐러 2명 이상을 준비하라.","Wave 35 Boss. Fast speed and ranged attack combo. AoE strike range is very wide. Prepare 2 or more healers.","Wave 35 ボス。速い速度と遠距離攻撃の組み合わせ。AOE強打の範囲が非常に広い。ヒーラーを2人以上準備しろ。"
monsters.titanium_golem.description,"전장 역사상 가장 단단한 존재. HP 1500에 방어력 400. 어픽스: AOE 강타로 지진을 일으킨다.","The toughest being in battlefield history. HP 1500, Defense 400. Affix: AoE Strike causes an earthquake.","戦場の歴史上最も硬い存在。HP1500に防御力400。アフィックス：AOE強打で地震を起こす。"
monsters.titanium_golem.displayName,"티타늄 골렘",Titanium Golem,チタニウムゴーレム
monsters.titanium_golem.tip,"Wave 25 보스. 방어력 400!!! 다단 히트 전문 영웅 없이는 처치 불가. 파티 전체에 다단 히트 스킬이 필요하다.","Wave 25 Boss. Defense 400!!! Impossible to kill without multi-hit specialized heroes. The whole party needs multi-hit skills.","Wave 25 ボス。防御力400！！！多段ヒット専門英雄がいなければ討伐不可。パーティ全体に多段ヒットスキルが必要だ。"
monsters.troll_shaman.description,"고대 주술로 아군 트롤을 치유하고 강화하는 주술사. 전장 후방에서 전투를 조율한다.","A shaman who heals and buffs ally trolls with ancient spells. Coordinates the battle from the rear of the battlefield.","古代の呪術で味方のトロールを癒やし強化する呪術師。戦場後方から戦闘を調整する。"
monsters.troll_shaman.displayName,"트롤 주술사",Troll Shaman,トロール呪術師
monsters.troll_shaman.tip,"원거리에서 아군 트롤을 힐하고 강화한다. 즉시 처치가 최선. CC로 묶고 집중 딜하라.","Heals and buffs ally trolls from a distance. Immediate kill is top priority. Root with CC and focus damage.","遠距離から味方のトロールを回復し強化する。即時排除が最優先。CCで縛り集中攻撃しろ。"
monsters.troll_warlord.description,"트롤 부족의 최고 지도자. 어픽스: 분노 — HP가 30% 이하가 되면 공격력이 2배로 증가한다.","The supreme leader of the troll tribe. Affix: Rage — Attack power increases by 2 times when HP falls below 30%.","トロール部族の最高指導者。アフィックス：激怒 — HPが30%以下になると攻撃力が2倍に増加する。"
monsters.troll_warlord.displayName,"트롤 전쟁군주",Troll Warlord,トロール戦争君主
monsters.troll_warlord.tip,"Wave 5 보스. 분노 전환 전에 빠르게 HP를 낮춰야 한다. 힐러와 CC가 없으면 분노 상태에서 탱커도 순식간에 쓰러진다.","Wave 5 Boss. Lower HP quickly before rage phase. Without healers and CC, even tanks will fall instantly in rage state.","Wave 5 ボス。激怒状態になる前に素早くHPを減らさなければならない。ヒーラーとCCがなければ、激怒状態でタンクも一瞬で倒れる。"
monsters.troll_warrior.description,"재생 능력을 가진 트롤 전사. 체력 900에 방어력 35, 죽이는 데 집중적인 화력이 필요하다.","A troll warrior with regenerative abilities. HP 900, Defense 35, requires focused firepower to kill.","再生能力を持つトロール戦士。体力900、防御力35、倒すためには集中的な火力が必要だ。"
monsters.troll_warrior.displayName,"트롤 전사",Troll Warrior,トロール戦士
monsters.troll_warrior.tip,"체력 900! 재생력이 있어 딜이 끊기면 회복될 수 있다. 집중 화력으로 끊임없이 공격하라.","HP 900! With regeneration, it can heal if damage stops. Attack relentlessly with focused firepower.","体力900！再生力があり、ダメージが途切れると回復する可能性がある。集中火力で絶え間なく攻撃しろ。"
monsters.venom_spider.description,"독낭이 부풀어 오른 거미. 원거리에서 독 실을 뱉어 아군을 독에 중독시킨다.","A spider with swollen poison sacs. Spits poison thread from a distance to poison allies.","毒嚢が膨れ上がったクモ。遠距離から毒の糸を吐き味方を毒に感染させる。"
monsters.venom_spider.displayName,"독 거미",Venom Spider,毒クモ
monsters.venom_spider.tip,"원거리 독 공격으로 힐러 부담을 증가시킨다. 야수 계열은 원딜보다 근딜로 처리가 빠르다.","Increases healer burden with ranged poison attacks. Beast types are processed faster with melee rather than ranged DPS.","遠距離の毒攻撃でヒーラーの負担を増加させる。野獣系は遠距離より近接アタッカーで処理する方が早い。"
monsters.void_crawler.description,"공허 차원에서 기어 나온 거미 형태의 존재. 체력 400에 빠른 속도로 탱커를 뚫고 들어온다.","A spider-like being crawling out of the void dimension. HP 400, breaches tanks at fast speed.","虚空の次元から這い出てきたクモ型の存在。体力400で速い速度でタンクを突破してくる。"
monsters.void_crawler.displayName,"공허 추적자",Void Crawler,ヴォイドクローラー
