synergy.race.undead.t1,힐량 +20%,Heal +20%,回復量 +20%
synergy.race.undead.t2,힐량 +35%,Heal +35%,回復量 +35%
synergy.race.undead.t3,힐량 +50% · 생명 흡수 10%,Heal +50% · Life Steal 10%,回復量 +50% · 吸血 10%
synergy.race.tauren.name,타우렌,Tauren,タウレン
"synergy.race.tauren.t1","체력 +15%, 방어력 +5","HP +15%, DEF +5","HP +15%, 防御 +5"
"synergy.race.tauren.t2","체력 +25%, 방어력 +12","HP +25%, DEF +12","HP +25%, 防御 +12"
"synergy.race.tauren.t3","체력 +40%, 방어력 +20","HP +40%, DEF +20","HP +40%, 防御 +20"
synergy.race.troll.name,트롤,Troll,トロル
synergy.race.troll.t1,공격속도 +15%,ATK SPD +15%,攻速 +15%
"synergy.race.troll.t2","공격속도 +25%, 힐량 +10%","ATK SPD +25%, Heal +10%","攻速 +25%, 回復量 +10%"
"synergy.race.troll.t3","공격속도 +35%, 힐량 +20%","ATK SPD +35%, Heal +20%","攻速 +35%, 回復量 +20%"
synergy.race.pandaren.name,판다렌,Pandaren,パンダレン
"synergy.race.pandaren.t1","방어력 +8, 이동속도 +10%","DEF +8, Move SPD +10%","防御 +8, 移動速度 +10%"
"synergy.race.pandaren.t2","방어력 +15, 이동속도 +15%","DEF +15, Move SPD +15%","防御 +15, 移動速度 +15%"
"synergy.race.pandaren.t3","방어력 +25, 이동속도 +20%, 체력 +10%","DEF +25, Move SPD +20%, HP +10%","防御 +25, 移動速度 +20%, HP +10%"
synergy.race.beast.name,야수족,Beastkin,獣族
synergy.race.beast.t1,공격력 +12%,ATK +12%,ATK +12%
"synergy.race.beast.t2","공격력 +20%, 공격속도 +15%, 흡혈 5%","ATK +20%, ATK SPD +15%, Life Steal 5%","ATK +20%, 攻速 +15%, 吸血 5%"
synergy.race.nightelf.name,밤엘프,Night Elf,ナイトエルフ
synergy.race.nightelf.t1,이동속도 +15%,Move SPD +15%,移動速度 +15%
"synergy.race.nightelf.t2","이동속도 +25%, 공격력 +12%","Move SPD +25%, ATK +12%","移動速度 +25%, ATK +12%"
synergy.race.goblin.name,고블린,Goblin,ゴブリン
synergy.race.goblin.t1,공격속도 +15%,ATK SPD +15%,攻速 +15%
"synergy.race.goblin.t2","공격속도 +25%, 공격력 +10%","ATK SPD +25%, ATK +10%","攻速 +25%, ATK +10%"
"synergy.race.goblin.t3","공격속도 +35%, 공격력 +15%","ATK SPD +35%, ATK +15%","攻速 +35%, ATK +15%"
synergy.race.draenei.name,드레나이,Draenei,ドレナイ
synergy.race.draenei.t1,힐량 +15%,Heal +15%,回復量 +15%
"synergy.race.draenei.t2","힐량 +25%, 체력 +10%","Heal +25%, HP +10%","回復量 +25%, HP +10%"
"synergy.race.draenei.t3","힐량 +40%, 체력 +15%, 방어력 +8","Heal +40%, HP +15%, DEF +8","回復量 +40%, HP +15%, 防御 +8"
synergy.race.bloodelf.name,블러드엘프,Blood Elf,ブラッドエルフ
synergy.race.bloodelf.t1,공격력 +12%,ATK +12%,ATK +12%
"synergy.race.bloodelf.t2","공격력 +20%, 흡혈 5%","ATK +20%, Life Steal 5%","ATK +20%, 吸血 5%"
"synergy.race.bloodelf.t3","공격력 +30%, 흡혈 10%","ATK +30%, Life Steal 10%","ATK +30%, 吸血 10%"
synergy.race.voidelf.name,공허엘프,Void Elf,ヴォイドエルフ
"synergy.race.voidelf.t1","공격력 +10%, 처형 임계값 +5%","ATK +10%, Execute Threshold +5%","ATK +10%, 処刑閾値 +5%"
synergy.race.lightforged.name,빛벼림 드레나이,Lightforged Draenei,ライトフォージド・ドレナイ
"synergy.race.lightforged.t1","힐량 +15%, 공격력 +10%","Heal +15%, ATK +10%","回復量 +15%, ATK +10%"
synergy.race.gnome.name,노움,Gnome,ノーム
synergy.race.gnome.t1,공격력 +10%,ATK +10%,ATK +10%
"synergy.race.gnome.t2","공격력 +15%, 방어력 +8","ATK +15%, DEF +8","ATK +15%, 防御 +8"
"synergy.race.gnome.t3","공격력 +20%, 방어력 +15, 체력 +10%","ATK +20%, DEF +15, HP +10%","ATK +20%, 防御 +15, HP +10%"
synergy.race.dracthyr.name,드렉티르,Dracthyr,ドラクティル
synergy.element.fire.name,화염,Fire,火炎
synergy.element.fire.t1,전체 공격력 +15%,All ATK +15%,全体ATK +15%
synergy.element.fire.t2,전체 공격력 +25%,All ATK +25%,全体ATK +25%
synergy.element.fire.t3,전체 공격력 +35% · 화상 효과 부여,All ATK +35% · Apply Burn,全体ATK +35% · 炎上効果付与
synergy.element.frost.name,냉기,Frost,冷気
synergy.element.frost.t1,적 둔화 +30%,Enemy Slow +30%,敵スロウ +30%
synergy.element.frost.t2,적 둔화 +60%,Enemy Slow +60%,敵スロウ +60%
synergy.element.frost.t3,적 둔화 +100% · 빙결 확률 30%,Enemy Slow +100% · Freeze Chance 30%,敵スロウ +100% · 凍結確率 30%
synergy.element.holy.name,신성,Holy,聖
synergy.element.holy.t1,힐량 +20%,Heal +20%,回復量 +20%
synergy.element.holy.t2,힐량 +35%,Heal +35%,回復量 +35%
synergy.element.holy.t3,힐량 +50% · 최대 체력 +20%,Heal +50% · Max HP +20%,回復量 +50% · 最大HP +20%
synergy.element.dark.name,암흑,Dark,暗黒
"synergy.element.dark.t1","처형 확률 +5% (체력 30% 이하)","Execute Chance +5% (below 30% HP)","処刑確率 +5% (HP 30%以下)"
synergy.element.dark.t2,처형 확률 +10%,Execute Chance +10%,処刑確率 +10%
synergy.element.dark.t3,처형 확률 +15% · 생명 흡수 15%,Execute Chance +15% · Life Steal 15%,処刑確率 +15% · 吸血 15%
synergy.element.nature.name,자연,Nature,自然
synergy.element.nature.t1,힐량 +15%,Heal +15%,回復量 +15%
"synergy.element.nature.t2","힐량 +25%, 체력 +10%","Heal +25%, HP +10%","回復量 +25%, HP +10%"
"synergy.element.nature.t3","힐량 +40%, 체력 +15%","Heal +40%, HP +15%","回復量 +40%, HP +15%"
synergy.element.water.name,물,Water,水
"synergy.element.water.t1","힐량 +15%, 이동속도 +10%","Heal +15%, Move SPD +10%","回復量 +15%, 移動速度 +10%"
"synergy.element.water.t2","힐량 +25%, 이동속도 +15%","Heal +25%, Move SPD +15%","回復量 +25%, 移動速度 +15%"
"synergy.element.water.t3","힐량 +35%, 이동속도 +20%, 체력 +10%","Heal +35%, Move SPD +20%, HP +10%","回復量 +35%, 移動速度 +20%, HP +10%"
synergy.element.thunder.name,번개,Thunder,雷
synergy.element.thunder.t1,공격속도 +20%,ATK SPD +20%,攻速 +20%
"synergy.element.thunder.t2","공격속도 +35%, 공격력 +10%","ATK SPD +35%, ATK +10%","攻速 +35%, ATK +10%"
"synergy.element.thunder.t3","공격속도 +50%, 공격력 +15%","ATK SPD +50%, ATK +15%","攻速 +50%, ATK +15%"
synergy.element.ice.name,서리,Ice,氷
"synergy.element.ice.t1","방어력 +10, CC 지속 +20%","DEF +10, CC Duration +20%","防御 +10, CC持続 +20%"
"synergy.element.ice.t2","방어력 +20, CC 지속 +40%","DEF +20, CC Duration +40%","防御 +20, CC持続 +40%"
"synergy.element.ice.t3","방어력 +30, CC 지속 +60%, 체력 +10%","DEF +30, CC Duration +60%, HP +10%","防御 +30, CC持続 +60%, HP +10%"
synergy.element.wind.name,바람,Wind,風
"synergy.element.wind.t1","이동속도 +15%, 공격속도 +10%","Move SPD +15%, ATK SPD +10%","移動速度 +15%, 攻速 +10%"
"synergy.element.wind.t2","이동속도 +20%, 공격속도 +20%","Move SPD +20%, ATK SPD +20%","移動速度 +20%, 攻速 +20%"
"synergy.element.wind.t3","이동속도 +25%, 공격속도 +30%, 공격력 +10%","Move SPD +25%, ATK SPD +30%, ATK +10%","移動速度 +25%, 攻速 +30%, ATK +10%"
synergy.element.poison.name,독,Poison,毒
synergy.element.poison.t1,처형 임계값 +5%,Execute Threshold +5%,処刑閾値 +5%
"synergy.element.poison.t2","처형 임계값 +10%, 공격력 +10%","Execute Threshold +10%, ATK +10%","処刑閾値 +10%, ATK +10%"
"synergy.element.poison.t3","처형 임계값 +15%, 공격력 +15%, 흡혈 5%","Execute Threshold +15%, ATK +15%, 吸血 5%"
synergy.element.flame.name,불꽃,Flame,炎
synergy.element.flame.t1,공격력 +18%,ATK +18%,ATK +18%
synergy.element.flame.t2,공격력 +28%,ATK +28%,ATK +28%
synergy.element.flame.t3,공격력 +40%,ATK +40%,ATK +40%
synergy.element.dragon.name,용 ★,Dragon ★,ドラゴン ★
"synergy.element.dragon.t1","용의 은총 — 전체 공격력 +20%, 체력 +15% (1명 단독 발동!)","Dragon's Grace — All ATK +20%, HP +15% (activates with 1!)","竜の恩寵 — 全体ATK +20%, HP +15% (1人で発動!)"
synergy.element.light.name,빛,Light,光
dashboard.tutorialTitle,튜토리얼,Tutorial,チュートリアル
dashboard.tutorialDesc,처음 오셨나요? 주인공과 함께 기초를 배워보세요.,First time here? Learn the basics with the main hero.,はじめての方？主人公と一緒に基礎を学びましょう。
dashboard.tutorialStage1,Stage 1 — 홀로 맞서다 (5 웨이브),Stage 1 — Stand Alone (5 Waves),Stage 1 — 孤独な戦い（5ウェーブ）
dashboard.tutorialHint1,노스킬 순수 체급으로 생존,Survive with raw stats — no skills,スキルなしで純粋なステータスで生き抜く
dashboard.tutorialHint2,5번째 웨이브 보스와의 조우,Face the Wave 5 boss,5ウェーブ目のボスとの遭遇
dashboard.tutorialStart,튜토리얼 시작,Start Tutorial,チュートリアルを開始
dashboard.tutorialSkip,건너뛰기,Skip,スキップ
dashboard.shopDesc2,영웅 영입 & 벽 강화,Recruit & Fortify,英雄雇用 & 防壁強化
dashboard.heroesManageTitle,내 영웅 관리,Manage Heroes,英雄管理
dashboard.heroesManageDesc,전직 및 스킬 세팅,Class Change & Skills,転職とスキル設定
dashboard.synergyTitle,시너지 가이드,Synergy Guide,シナジーガイド
dashboard.synergyDesc,종족 및 원소 효과 확인,Race & Element effects,種族と属性効果を確認
friends.requestSent,"{username}님에게 친구 요청을 보냈습니다.","Friend request sent to {username}.","{username}さんにフレンド申請を送りました。"
friends.removeConfirm,{username}님을 친구 목록에서 삭제하시겠습니까?,Remove {username} from friends?,{username}さんをフレンドリストから削除しますか？
friends.removed,{username}님을 친구 목록에서 삭제했습니다.,{username} removed from friends.,{username}さんをフレンドリストから削除しました。
friends.requestAccepted,친구 요청을 수락했습니다.,Friend request accepted.,フレンド申請を承認しました。
friends.requestRejected,친구 요청을 거절했습니다.,Friend request rejected.,フレンド申請を拒否しました。
profile.imageOnly,이미지 파일만 업로드 가능합니다.,Only image files can be uploaded.,画像ファイルのみアップロードできます。
profile.avatarUpdated,아바타가 업데이트되었습니다.,Avatar updated.,アバターが更新されました。
profile.avatarFailed,아바타 업로드에 실패했습니다.,Failed to upload avatar.,アバターのアップロードに失敗しました。
profile.changeAvatar,클릭하여 아바타 변경,Click to change avatar,クリックしてアバターを変更
profile.changeBtn,변경,Change,変更
"aiGame.upgradeConfirm","{name}을(를) {star}성으로 강화하시겠습니까?\n소모 골드: {cost}G","Upgrade {name} to {star}★?\nCost: {cost}G","{name}を{star}☆に強化しますか？\n消費ゴールド: {cost}G"
leaderboard.me,ME,ME,ME
leaderboard.top100,Top 100,Top 100,Top 100
game.activeSynergyPreview,✨ 활성 시너지,✨ Active Synergies,✨ アクティブシナジー
game.heroSearchPlaceholder,이름 · 종족 · 원소 · 역할로 검색...,Search name · race · element · role...,名前・種族・属性・役割で検索...
game.hostLeft,호스트가 게임을 떠났습니다.,Host has left the game.,ホストがゲームを離れました。
game.hostLeftDesc,{n}초 후 게임이 종료됩니다.,Game ends in {n} seconds.,{n}秒後にゲームが終了します。
offense.stageInfo,스테이지 {id} — {name},Stage {id} — {name},ステージ {id} — {name}
offense.stageClear,스테이지 {id} 클리어!,Stage {id} Clear!,ステージ {id} クリア！
offense.retryHint,파티를 강화해 다시 도전하세요!,Strengthen your party and try again!,パーティを強化して再挑戦しましょう！
offense.autoReturn,{n}초 후 메인화면으로 자동 이동합니다...,Returning to main screen in {n} seconds...,{n}秒後にメイン画面に戻ります...
synergy.heroCount,{count}명,{count} heroes,{count}人
