Key,KO,EN,JA
heroes.daulgard.skills.frost_chains.desc,"6초마다 단일 대상 ATK×3 피해 및 5초 슬로우",Deals ATK x 3 damage and 5s Slow to a single target every 6s.,6秒ごとに単体に攻撃力 x 3のダメージと5秒間のスロウ。
heroes.daulgard.skills.frost_chains.name,"얼음의 손길",Icy Touch,氷の鎖
heroes.daulgard.skills.frost_strike.desc,"공격 시 {value}% 확률로 ATK×2 추가 냉기 피해",Attack has a {value}% chance to deal ATK x 2 bonus Frost damage.,攻撃時、{value}%の確率で攻撃力 x 2の追加冷気ダメージ。
heroes.daulgard.skills.frost_strike.name,"냉기 타격",Frost Strike,フロストストライク
heroes.daulgard.skills.ghoul.desc,"근접 구울 1마리와 해골 궁수 1마리를 소환합니다.",Summons 1 Melee Ghoul and 1 Skeleton Archer.,近接グール1体とスケルトン弓兵1体を召喚する。
heroes.daulgard.skills.ghoul.name,"구울 소환",Summon Ghoul,グール召喚
heroes.daulgard.skills.howling_blast.desc,"10초마다 타겟 주변 150px 적 ATK×4 광역 피해 및 슬로우",Deals ATK x 4 AoE damage and Slow to enemies within 150px of target every 10s.,10秒ごとにターゲット周囲150pxの敵に攻撃力 x 4の広域ダメージとスロウ。
heroes.daulgard.skills.howling_blast.name,"울부짖는 한파",Howling Blast,ハウリングブラスト
heroes.daulgard.skills.remorseless_winter.desc,"20초마다 10초간 주변 모든 적에게 매초 ATK×1.5 피해 및 50% 슬로우",Deals ATK x 1.5 damage per second and 50% Slow to all nearby enemies for 10s every 20s.,20秒ごとに10秒間、周囲のすべての敵に毎秒攻撃力 x 1.5のダメージと50%のスロウ。
heroes.daulgard.skills.remorseless_winter.name,"절멸의 겨울",Remorseless Winter,絶滅の冬
heroes.daulgard.skills.vampiric_blood.desc,"15초마다 10초간 최대 HP 30% 증가 및 받는 치유량 50% 증가",Increases Max HP by 30% and healing received by 50% for 10s every 15s.,15秒ごとに10秒間、最大HPが 30%増加し、受ける回復量が 50%増加する。
heroes.daulgard.skills.vampiric_blood.name,"흡혈귀의 피",Vampiric Blood,吸血鬼の血
heroes.daulgard.summons.army.name,"군단 구울",Legion Ghoul,軍団グール
heroes.daulgard.summons.ghoul.name,"구울",Ghoul,グール
heroes.daulgard.summons.rune_weapon.name,"룬 무기",Rune Weapon,ルーン武器
heroes.dizgarldo.lore,"잊혀진 그림자의 교단 사제. 빛과 어둠을 오가며 아군을 치유한다.","A priest of the Cult of Forgotten Shadows. Heals allies by moving between light and darkness.","忘れられた影の教団の司祭。光と闇を行き来しながら味方を癒やす。"
heroes.dizgarldo.name,"디즈가르도",Dizgarldo,"ディズガルド"
heroes.dizgarldo.routes.discipline.name,"수양",Discipline,修養
heroes.dizgarldo.routes.discipline.variantDesc,"피격 시 HP 30% 이하면 {value}% 확률로 최대HP 15% 즉시 회복.",When hit, if HP is below 30%, {value}% chance to restore 15% Max HP.,被弾時、HP30%以下なら{value}%の確率で最大HPの15%を即座に回復する。
heroes.dizgarldo.routes.discipline.variantName,"신성한 방호",Divine Protection,神聖なる防護
heroes.dizgarldo.routes.holy.name,"신성",Holy,神聖
heroes.dizgarldo.routes.holy.variantDesc,"힐 시 {value}% 확률로 전체 아군 소량 힐 전파.",When healing, {value}% chance to spread a small heal to all allies.,回復時、{value}%の確率で味方全体に少量回復を拡散させる。
heroes.dizgarldo.routes.holy.variantName,"신성한 자비",Holy Mercy,神聖なる慈悲
heroes.dizgarldo.routes.shadow.name,"암흑",Shadow,暗黒
heroes.dizgarldo.routes.shadow.variantDesc,"공격 시 {value}% 확률로 피해량 50% 체력 최저 아군 힐.",When attacking, {value}% chance to heal the lowest HP ally for 50% of damage dealt.,攻撃時、{value}%の確率でダメージの50%分、HPが最も低い味方を回復する。
heroes.dizgarldo.routes.shadow.variantName,"어둠의 갈망",Shadow's Thirst,闇の渇望
heroes.dizgarldo.skills.blood_ritual.desc,"20초마다 자신 HP 30% 소모 → 전체 아군 ATK×3 힐","Consumes 30% of self HP every 20s to heal all allies for ATK x 3.","20秒ごとに自身のHP 30%を消耗 → 味方全体を攻撃力 x 3回復。"
heroes.dizgarldo.skills.blood_ritual.name,"피의 의식",Blood Ritual,血の儀式
heroes.dizgarldo.skills.dark_feast.desc,"6초마다 자신 최대HP 10% 회복",Restores 10% of Max HP every 6s.,6秒ごとに自身の最大HPの10%を回復。
heroes.dizgarldo.skills.dark_feast.name,"암흑 포식",Dark Feast,暗黒捕食
heroes.dizgarldo.skills.demon_summon.desc,"마귀 소환 (20초, 공격 시 피해의 50%만큼 체력 최저 아군 힐)",Summon Fiend (20s; heals lowest HP ally for 50% of damage dealt).,魔鬼を召喚（20秒、攻撃時にダメージの50%分、最もHPの低い味方を回復）。
heroes.dizgarldo.skills.demon_summon.name,"마귀 소환",Summon Fiend,魔鬼召喚
heroes.dizgarldo.skills.divine_hymn.desc,"15초마다 전체 아군 ATK×5 강힐 + 보호막",Heals all allies for ATK x 5 + grants a Shield every 15s.,15秒ごとに味方全体を攻撃力 x 5の強力回復 + シールド。
heroes.dizgarldo.skills.divine_hymn.name,"신성한 찬가",Divine Hymn,神聖なる賛歌
heroes.dizgarldo.skills.divine_intervention.desc,"30초마다 전체 아군 ATK×4 힐 + 보호막",Heals all allies for ATK x 4 + grants a Shield every 30s.,30秒ごとに味方全体を攻撃力 x 4回復 + シールド。
heroes.dizgarldo.skills.divine_intervention.name,"신성 개입",Divine Intervention,聖なる介入
heroes.dizgarldo.skills.holy_beacon.desc,"빛의 봉화 소환 (25초, 2초마다 HP 최저 아군 힐)",Summon Beacon of Light (25s; heals lowest HP ally every 2s).,光の標を召喚（25秒、2秒ごとに最もHPの低い味方を回復）。
heroes.dizgarldo.skills.holy_beacon.name,"빛의 봉화",Beacon of Light,光の標
heroes.dizgarldo.skills.holy_light.desc,"8초마다 HP 최저 아군 완전 회복 (ATK×8)",Fully restores the lowest HP ally (ATK x 8) every 8s.,8秒ごとに最もHPの低い味方を完全回復（攻撃力 x 8）。
heroes.dizgarldo.skills.holy_light.name,"신성한 빛",Holy Light,聖なる光
heroes.dizgarldo.skills.holy_shield.desc,"12초마다 HP 최저 아군 보호막 (최대HP 20%)",Grants a 20% Max HP Shield to the lowest HP ally every 12s.,12秒ごとに最もHPの低い味方にシールド（最大HP 20%）。
heroes.dizgarldo.skills.holy_shield.name,"신성한 보호막",Holy Shield,神聖なる保護膜
heroes.dizgarldo.skills.life_drain.desc,"공격 시 피해량 50% 자가회복 패시브",Passive: Restores own HP by 50% of damage dealt.,パッシブ：攻撃時にダメージの50%分、自己回復。
heroes.dizgarldo.skills.life_drain.name,"생명 흡수",Life Drain,生命吸収
heroes.dizgarldo.skills.light_wave.desc,"8초마다 전체 아군 ATK×1.5 힐",Heals all allies for ATK x 1.5 every 8s.,8秒ごとに味方全体を攻撃力 x 1.5回復。
heroes.dizgarldo.skills.light_wave.name,"빛의 파동",Light Wave,光の波動
heroes.dizgarldo.skills.prayer_healing.desc,"10초마다 전체 아군 ATK×2 힐",Heals all allies for ATK x 2 every 10s.,10秒ごとに味方全体を攻撃力 x 2回復。
heroes.dizgarldo.skills.prayer_healing.name,"치유의 기도",Prayer of Healing,癒しの祈り
heroes.dizgarldo.skills.resurrection.desc,"45초마다 쓰러진 아군 1명 HP 30% 부활",Resurrects one fallen ally with 30% HP every 45s.,45秒ごとに倒れた味方1人をHP 30%で復活させる。
heroes.dizgarldo.skills.resurrection.name,"부활",Resurrection,復活
heroes.dizgarldo.summons.demon.name,"마귀",Fiend,魔鬼
heroes.dizgarldo.summons.holy_beacon.name,"빛의 봉화",Beacon of Light,光の標
heroes.durga.lore,"백발백중의 오크 사냥꾼.","An Orc hunter with perfect aim.","百発百中のオークハンター。"
heroes.durga.name,"두르가",Durga,ドゥルガ
heroes.durga.routes.marksmanship.name,"사격",Marksmanship,射撃
heroes.durga.routes.marksmanship.variantDesc,"사거리 {value} 증가.",Increases attack range by {value}.,射程が {value}増加。
heroes.durga.routes.marksmanship.variantName,"매의 눈",Eagle Eye,鷹の目
heroes.durga.skills.aimed_shot.desc,"강력한 한방",A powerful single shot.,強力な一撃。
heroes.durga.skills.aimed_shot.name,"조준 사격",Aimed Shot,狙い撃ち
heroes.durga.skills.arcane_shot.desc,"기본 사격",Standard shot.,基本射撃。
heroes.durga.skills.arcane_shot.name,"신비한 사격",Arcane Shot,秘術の射撃
heroes.durga.skills.concussive_shot.desc,"적에게 피해를 주고 이속 50% 감소",Deals damage and reduces Movement Speed by 50%.,敵にダメージを与え、移動速度を50%減少させる。
heroes.durga.skills.concussive_shot.name,"충격포",Concussive Shot,衝撃砲
heroes.feldah.lore,"강력한 흑마법사. 죽음을 초월한 육신으로 악마 군단을 부린다.","A powerful warlock. Commands the demon legion with a body that transcends death.","強力な黒魔道士。死を超越した肉体で悪魔軍団を操る。"
heroes.feldah.name,"펠다",Feldah,フェルダ
heroes.feldah.routes.afflict.name,"고흑",Affliction,苦悩
heroes.feldah.routes.afflict.variantDesc,"피격 적 이속 {value}% 감소.",Reduces hit enemy's Movement Speed by {value}%.,攻撃を受けた敵の移動速度を {value}%減少させる。
heroes.feldah.routes.afflict.variantName,"저주받은 영혼",Cursed Souls,呪われた魂
heroes.feldah.routes.demon.name,"악흑",Demonology,悪魔
heroes.feldah.routes.demon.variantDesc,"소환수 능력치 {value}% 증가.",Increase summon stats by {value}%.,召喚獣の能力値が {value}%増加。
heroes.feldah.routes.demon.variantName,"악마 군주",Demon Overlord,悪魔の君主
heroes.feldah.routes.destro.name,"파흑",Destruction,破壊
heroes.feldah.routes.destro.variantDesc,"치명타 시 {value}% 쿨타임 단축.",Reduces Cooldowns by {value}% on Critical Hit.,クリティカル発生時、クールタイムを {value}%短縮。
heroes.feldah.routes.destro.variantName,"혼돈의 불꽃",Chaos Flame,混沌の火
heroes.feldah.skills.agony.desc,"점증하는 지속 피해",Increasing periodic damage.,漸増する持続ダメージ。
heroes.feldah.skills.agony.name,"고통의 저주",Curse of Agony,苦悶の呪い
heroes.feldah.skills.chaos_bolt.desc,"방어 무시 강력한 한방",A powerful strike that ignores Defense.,防御無視の強力な一撃。
heroes.feldah.skills.chaos_bolt.name,"혼돈의 화살",Chaos Bolt,カオスボルト
heroes.feldah.skills.corruption.desc,"전체 지속 피해",Periodic damage to all enemies.,全体の持続ダメージ。
heroes.feldah.skills.corruption.name,"광역 부패",AoE Corruption,広域腐敗
heroes.feldah.skills.crit_triple.desc,"치명타 피해 3배",3x damage on Critical Hit.,クリティカルダメージ 3倍。
heroes.feldah.skills.crit_triple.name,"파멸의 일격",Doom Strike,破滅の一撃
heroes.feldah.skills.curse_fatigue.desc,"전체 이속 감소",Reduces Movement Speed of all enemies.,全体の移動速度減少。
heroes.feldah.skills.curse_fatigue.name,"광역 피로",AoE Fatigue,広域疲労
heroes.feldah.skills.double_bolt.desc,"2발 발사",Fires 2 bolts.,2発発射。
heroes.feldah.skills.double_bolt.name,"쌍 투사체",Double Bolts,双子ボルト
heroes.feldah.skills.drain_soul.desc,"HP 35% 미만 일반몹 즉사",Instantly kills normal monsters below 35% HP.,HP 35%未満の一般モンスターを即死させる。
heroes.feldah.skills.drain_soul.name,"영혼 흡수",Drain Soul,魂吸収
heroes.feldah.skills.felguard.desc,"강력한 탱커 악마 소환",Summons a powerful Tank Demon.,強力なタンク悪魔を召喚。
heroes.feldah.skills.felguard.name,"펠가드",Felguard,フェルガード
heroes.feldah.skills.felhunter.desc,"근접 악마 소환",Summons a melee demon.,近接悪魔を召喚。
heroes.feldah.skills.felhunter.name,"마법사냥개",Felhunter,フェルハンター
heroes.feldah.skills.healthstone.desc,"위기 시 아군 회복",Restores ally health during a crisis.,危機時に味方を回復。
heroes.feldah.skills.healthstone.name,"생명석",Healthstone,生命石
heroes.feldah.skills.imp.desc,"원거리 임프 소환",Summons a ranged Imp.,遠距離インプを召喚。
heroes.feldah.skills.imp.name,"임프 소환",Summon Imp,インプ召喚
heroes.feldah.skills.sacrifice.desc,"전체 틱 데미지",Periodic damage to all.,全体の持続ダメージ。
heroes.feldah.skills.sacrifice.name,"제물",Sacrifice,生け贄
heroes.feldah.summons.felguard.name,"펠가드",Felguard,フェルガード
heroes.feldah.summons.felhunter.name,"마법사냥개",Felhunter,フェルハンター
heroes.feldah.summons.imp.name,"임프",Imp,インプ
heroes.gardu.lore,"거대 도끼를 휘두르는 오크 전사.","An Orc warrior wielding a giant axe.","巨大な斧を振るうオーク戦士。"
heroes.gardu.name,"가르두",Gardu,ガルドゥ
heroes.gardu.routes.arms.name,"무기",Arms,武器
heroes.gardu.routes.arms.variantDesc,"치명타율 {value}% 증가.",Increase Critical Hit rate by {value}%.,クリティカル率が {value}%増加。
heroes.gardu.routes.arms.variantName,"치명적 일격",Mortal Strike,致命的一撃
heroes.gardu.skills.bladestorm.desc,"광역 휠윈드",AoE Whirlwind.,広域旋回斬り。
heroes.gardu.skills.bladestorm.name,"칼날폭풍",Bladestorm,ブレードストーム
heroes.gardu.skills.mortal_strike.desc,"적에게 피해를 주고 치유 50% 감소",Deals damage and reduces target's healing by 50%.,敵にダメージを与え、回復効果を50%減少させる。
heroes.gardu.skills.mortal_strike.name,"필사의 일격",Mortal Strike,必殺の一撃
heroes.gazro.lore,"고블린 공학자. 그의 기계는 성급이 오를수록 쉴 새 없이 발사된다.","A goblin engineer. His machines fire relentlessly as his star level increases.","ゴブリン工学者。星が上がるにつれて、彼の機械は休むことなく発射される。"
heroes.gazro.name,"가즈로",Gazro,ガズロ
heroes.gazro.routes.marksmanship.name,"사격",Marksmanship,射撃
heroes.gazro.routes.marksmanship.variantDesc,"쿨타임 {value}% 감소.",Reduces Cooldowns by {value}%.,クールタイムが {value}%短縮。
heroes.gazro.routes.marksmanship.variantName,"고블린 공학",Goblin Engineering,ゴブリン工学
heroes.gazro.skills.deth_lazor.desc,"충전 레이저",Charging laser.,チャージレーザー。
heroes.gazro.skills.deth_lazor.name,"죽음의 광선",Deth Lazor,デスレイザー
heroes.gazro.skills.grav_o_bomb.desc,"블랙홀 폭탄",Black hole bomb.,ブラックホール爆弾。
heroes.gazro.skills.grav_o_bomb.name,"중력 폭탄",Grav-O-Bomb,重力爆弾
heroes.gazro.skills.rock_it_turret.desc,"포탑 설치",Places a turret.,タレット設置。
heroes.gazro.skills.rock_it_turret.name,"잘나가 포탑",Rock-It! Turret,ロック・イット・タレット
heroes.gazro.skills.xplodium_charge.desc,"스턴 폭탄",Stunning bomb.,スタン爆弾。
heroes.gazro.skills.xplodium_charge.name,"폭탄 투하",Xplodium Charge,爆弾投下
heroes.gazro.summons.turret.name,"잘나가 포탑",Rock-It! Turret,ロック・イット・タレット
heroes.gray.lore,"길니াসের 늑대인간 전사.","A Gilnean worgen warrior.","ギルニアスの人狼戦士。"
heroes.gray.name,"그레이",Gray,グレイ
heroes.gray.routes.fury.name,"분노",Fury,憤怒
heroes.gray.routes.fury.variantDesc,"공격 시 {value}% 회복.",Restores HP by {value}% on Attack.,攻撃時に {value}%回復する。
heroes.gray.routes.fury.variantName,"피의 갈증",Bloodthirst,血の渇望
heroes.gray.skills.bloodthirst.desc,"피해+회복",Damage + Restoration.,ダメージ+回復。
heroes.gray.skills.bloodthirst.name,"피의 갈증",Bloodthirst,血の渇望
heroes.gray.skills.rampage.desc,"4연타",4 successive strikes.,4連撃。
heroes.gray.skills.rampage.name,"광란",Rampage,狂乱
heroes.gray.skills.recklessness.desc,"치명타 100%",Guaranteed Critical Hit.,クリティカル 100%。
heroes.gray.skills.recklessness.name,"무모한 희생",Recklessness,無謀な犠牲
heroes.grelcal.lore,"드레노어의 야성을 간직한 마그하르 전사. 무자비한 힘으로 적을 분쇄한다.","A Mag'har warrior who retains the wildness of Draenor. Crushes enemies with ruthless power.","ドラエナーの野性を秘めたマグハール戦士。無慈悲な力で敵を粉砕する。"
heroes.grelcal.name,"그렉칼",Grelcal,グレカル
heroes.grelcal.routes.defense.name,"방어",Defense,防御
heroes.grelcal.routes.defense.variantDesc,"피격 시 {value}% 확률로 피해 50% 무효화.",When hit, {value}% chance to nullify 50% of damage.,被弾時、{value}%の確率でダメージの50%を無効化する。
heroes.grelcal.routes.defense.variantName,"전사의 의지",Warrior's Will,戦士の意志
heroes.grelcal.routes.weapon.name,"무기",Weapon,武器
heroes.grelcal.routes.weapon.variantDesc,"3타마다 {value}% 추가 피해.",Every 3rd hit deals {value}% bonus damage.,3打ごとに {value}%の追加ダメージ。
heroes.grelcal.routes.weapon.variantName,"전사의 공세",Warrior's Offensive,戦士の攻勢
heroes.grelcal.skills.iron_wall.desc,"받는 피해 15% 감소",Reduces damage taken by 15%.,被ダメージを15%減少させる。
heroes.grelcal.skills.iron_wall.name,"철벽",Iron Wall,鉄壁
heroes.grelcal.skills.lacerate.desc,"자신의 방어력이 25% 감소하지만 공격력이 50% 증가",Attack Power Increase 50% but Defense Decrease 25%.,自身の防御力が25%減少するが、攻撃力が50%増加する。
heroes.grelcal.skills.lacerate.name,"열상",Lacerate,裂傷
heroes.grelcal.skills.rend.desc,"15초 출혈, 치사 시 즉사",15s Bleed; kills instantly if damage is lethal.,15秒間の出血、致命傷なら即死。
heroes.grelcal.skills.rend.name,"찢어발기기",Rend,引き裂き
heroes.grelcal.skills.shield_bash.desc,"방어력의 50%만큼 추가 공격력",Bonus Attack Power equal to 50% of Defense.,防御力の50%分の追加攻撃力。
heroes.grelcal.skills.shield_bash.name,"방패 타격",Shield Bash,シールドバッシュ
heroes.grelcal.skills.shockwave.desc,"주변 적 1.5초 기절",Stuns nearby enemies for 1.5s.,周囲の敵を1.5秒間スタンさせる。
heroes.grelcal.skills.shockwave.name,"충격파",Shockwave,衝撃波
heroes.grelcal.skills.weapon_mastery.desc,"공격력 +20%, 공속 +10%",Attack Power +20%, Attack Speed +10%.,攻撃力 +20%、攻撃速度 +10%。
heroes.grelcal.skills.weapon_mastery.name,"무기 연마",Weapon Mastery,武器熟練
heroes.hamul.lore,"자연의 조화를 중시하는 드루이드.","A druid who values the harmony of nature.","自然の調和を重視するドルイド。"
heroes.hamul.name,"하뮬",Hamul,ハミュウル
heroes.hamul.routes.restoration.name,"회복",Restoration,回復
heroes.hamul.routes.restoration.variantDesc,"HoT 효과 {value}% 증가.",Increases Continuous healing effects by {value}%.,持続回復効果が {value}%増加。
heroes.hamul.routes.restoration.variantName,"생명의 나무",Tree of Life,生命の樹
heroes.hamul.skills.incarnation.desc,"치유 강화 변신",Transforms to enhance healing.,回復強化の変身。
heroes.hamul.skills.incarnation.name,"화신: 생명의 나무",Incarnation: Tree of Life,化身：生命の樹
heroes.hamul.skills.regrowth.desc,"즉발+HoT",Immediate heal + Continuous healing.,即時回復 + 持続回復。
heroes.hamul.skills.regrowth.name,"재생",Regrowth,再生
heroes.hamul.skills.tranquility.desc,"광역 지속 힐",AoE periodic healing.,広域持続回復。
heroes.hamul.skills.tranquility.name,"평온",Tranquility,平穏
heroes.hamul.skills.wild_growth.desc,"전체 아군 HoT",Continuous healing for all allies.,味方全体の持続回復。
heroes.hamul.skills.wild_growth.name,"야생 성장",Wild Growth,野生の成長
heroes.heln_dinohouf.lore,"달과 태양의 힘을 다루는 타우렌 드루이드.","A Tauren druid who wields the power of the moon and sun.","月と太陽の力を操るタウレンのドルイド。"
heroes.heln_dinohouf.name,"헬른 다이노후프",Heln Dinohouf,ヘルン・ダイノフーフ
heroes.heln_dinohouf.routes.balance.name,"조화드루",Balance,調和
heroes.heln_dinohouf.routes.balance.variantDesc,"공격 시 {value}% 확률 광역 폭발.",When attacking, {value}% chance for an AoE explosion.,攻撃時、{value}%の確率で広域爆発。
heroes.heln_dinohouf.routes.balance.variantName,"달빛 쐐기",Moonlit Spike,月の楔
heroes.heln_dinohouf.routes.restoration.name,"회복드루",Restoration,回復
heroes.heln_dinohouf.routes.restoration.variantDesc,"HoT 효과 {value}% 강화.",Increases Continuous healing effects by {value}%.,持続回復効果を {value}%強化。
heroes.heln_dinohouf.routes.restoration.variantName,"자연의 우기",Nature's Rain,自然の雨期
heroes.heln_dinohouf.skills.ironbark.desc,"힐 대상에게 보호막 부여 (최대HP 12%, 8초)",Grants a Shield (12% Max HP, 8s) to the heal target.,回復対象にシールドを付与（最大HP 12%、8秒間）。
heroes.heln_dinohouf.skills.ironbark.name,"아이언바크",Ironbark,アイアンバーク
heroes.heln_dinohouf.skills.moonfire.desc,"광역 DoT",AoE Continuous damage.,広域持続ダメージ。
heroes.heln_dinohouf.skills.moonfire.name,"달빛 불꽃",Moonfire,月火
heroes.heln_dinohouf.skills.natures_swiftness.desc,"주기적 전체 힐",Periodic healing for all allies.,周期的な全体回復。
heroes.heln_dinohouf.skills.natures_swiftness.name,"자연의 의지",Nature's Will,自然の意志
heroes.heln_dinohouf.skills.rejuvenation.desc,"단일 HoT",Single target Continuous healing.,単体持続回復。
heroes.heln_dinohouf.skills.rejuvenation.name,"회춘",Rejuvenation,回春
heroes.heln_dinohouf.skills.starfall.desc,"전체 광역 폭격",AoE bombardment to all enemies.,全体広域爆撃。
heroes.heln_dinohouf.skills.starfall.name,"별비",Starfall,星の雨
heroes.heln_dinohouf.skills.starsurge.desc,"단일 강타",Powerful single target hit.,単体強打。
heroes.heln_dinohouf.skills.starsurge.name,"별 급류",Starsurge,星の急流
heroes.heln_dinohouf.skills.wild_growth.desc,"광역 HoT",AoE Continuous healing.,広域持続回復。
heroes.heln_dinohouf.skills.wild_growth.name,"야생 성장",Wild Growth,野生の成長
heroes.howl.lore,"야수의 본성을 받아들인 드루이드.","A druid who has accepted his feral nature.","野獣の本性を受け入れたドルイド。"
heroes.howl.name,"하울",Howl,ハウル
heroes.howl.routes.feral.name,"야성",Feral,野性
heroes.howl.routes.feral.variantDesc,"공격 시 {value}% 확률로 쿨타임 즉시 초기화.",When attacking, {value}% chance to immediately Reset Cooldowns.,攻撃時、{value}%の確率でクールタイムを即座にリセットする。
heroes.howl.routes.feral.variantName,"청명의 전조",Omen of Clarity,明晰の予兆
heroes.howl.skills.berserk.desc,"쿨타임 단축 + 공격속도 증가",Cooldown Reduction + Attack Speed Increase.,クールタイム短縮 + 攻撃速度増加。
heroes.howl.skills.berserk.name,"광폭화",Berserk,狂暴化
heroes.howl.skills.rip.desc,"출혈 DoT",Bleeding Continuous damage.,出血持続ダメージ。
heroes.howl.skills.rip.name,"도려내기",Rip,引き裂き
heroes.howl.skills.shred.desc,"연계 점수",Generates Combo points.,コンボポイント生成。
heroes.howl.skills.shred.name,"칼날 발톱",Shred,シュレッド
heroes.ireneerpiria.lore,"수라마르에서 온 비전술사. 고대 마력으로 적을 제압한다.","An arcanist from Suramar. Subdues enemies with ancient mana.","スラマールから来た秘術師。古代の魔力で敵を制圧する。"
heroes.ireneerpiria.name,"이레네에르피리아",Ireneerpiria,イレネエスピリア
heroes.ireneerpiria.routes.arcane.name,"비전",Arcane,秘術
heroes.ireneerpiria.routes.arcane.variantDesc,"마법 공격 시 {value}% 확률로 피해 2배.",When using magic attacks, {value}% chance to double the damage.,魔法攻撃時、{value}%の確率でダメージが 2倍になる。
heroes.ireneerpiria.routes.arcane.variantName,"비전 공명",Arcane Resonance,秘術共鳴
heroes.ireneerpiria.skills.arcane_blast.desc,"ATK 200% 단일 피해",Deals 200% Attack Power damage to a single target.,攻撃力 200%の単体ダメージ。
heroes.ireneerpiria.skills.arcane_blast.name,"비전 폭발",Arcane Blast,秘術爆発
heroes.ireneerpiria.skills.mana_burn.desc,"버프 제거 + 추가 피해",Removes buffs + Bonus damage.,バフ除去 + 追加ダメージ。
heroes.ireneerpiria.skills.mana_burn.name,"마법 파쇄",Mana Burn,魔法粉砕
heroes.ireneerpiria.skills.resonance_burst.desc,"공명 발동 시 주변 50% 피해 전파",Spreads 50% damage to nearby enemies when Resonance triggers.,共鳴発動時、周囲に 50%のダメージを拡散。
heroes.ireneerpiria.skills.resonance_burst.name,"공명 폭발",Resonance Burst,共鳴爆発
heroes.iskierpyria.lore,"태양샘의 마력을 받아들인 고위 마법사. 냉기·화염·비전의 세 가지 흐름을 자유로이 다룬다.","A high mage who accepted the mana of the Sunwell. Freely handles the three flows of Frost, Fire, and Arcane.","太陽の泉の魔力を受け入れた高位魔道士。冷気・火炎・秘術の三つの流れを自在に操る。"
heroes.iskierpyria.name,"이스키에르피리아",Iskierpyria,イスキエスピリア
heroes.iskierpyria.routes.arcane.name,"비전",Arcane,秘術
heroes.iskierpyria.routes.arcane.variantDesc,"공격 시 {value}% 확률로 비전 투사체 추가 발사.",When attacking, {value}% chance to fire an additional Arcane Projectile.,攻撃時、{value}%の確率で秘術の投射体を追加発射する。
heroes.iskierpyria.routes.arcane.variantName,"비전 공명",Arcane Resonance,秘術共鳴
heroes.iskierpyria.routes.fire.name,"화염",Fire,火炎
heroes.iskierpyria.routes.fire.variantDesc,"공격 시 {value}% 확률로 ATK×2 즉발 화상 피해.",When attacking, {value}% chance to deal ATK x 2 immediate Burn damage.,攻撃時、{value}%の確率で攻撃力 x 2の即時火傷ダメージ。
heroes.iskierpyria.routes.fire.variantName,"마법 점화",Arcane Ignition,魔法点火
heroes.iskierpyria.routes.frost.name,"냉기",Frost,冷気
heroes.iskierpyria.routes.frost.variantDesc,"냉기 공격 시 {value}% 확률로 2초 빙결.",When using Frost attacks, {value}% chance to freeze the target for 2s.,冷気攻撃時、{value}%の確率で対象を 2秒間氷結させる。
heroes.iskierpyria.routes.frost.variantName,"마법 결빙",Arcane Freeze,魔法凍結
heroes.iskierpyria.skills.arcane_barrage.desc,"8초마다 ATK×3 투사체 3발 발사",Fires 3 projectiles for ATK x 3 every 8s.,8秒ごとに攻撃力 x 3の投射体を 3発発射。
heroes.iskierpyria.skills.arcane_barrage.name,"비전 집중포격",Arcane Barrage,秘術集中砲火
heroes.iskierpyria.skills.arcane_missiles.desc,"5초마다 ATK×1.5 투사체 5발 연속 발사",Fires 5 successive projectiles for ATK x 1.5 every 5s.,5秒ごとに攻撃力 x 1.5の投射体を 5発連続発射。
heroes.iskierpyria.skills.arcane_missiles.name,"비전 미사일",Arcane Missiles,秘術ミサイル
heroes.iskierpyria.skills.arcane_surge.desc,"15초마다 전체 적에게 ATK×4 비전 폭격",Bombards all enemies for ATK x 4 Arcane damage every 15s.,15秒ごとにすべての敵に攻撃力 x 4の秘術爆撃。
heroes.iskierpyria.skills.arcane_surge.name,"비전 쇄도",Arcane Surge,秘術の奔流
heroes.iskierpyria.skills.fireball.desc,"6초마다 타겟 주변 80px ATK×5 폭발",ATK x 5 Explosion within 80px of Target every 6s.,6秒ごとにターゲット周囲 80pxに攻撃力 x 5の爆発。
heroes.iskierpyria.skills.fireball.name,"화염구",Fireball,火炎球
heroes.iskierpyria.skills.frost_elemental.desc,"냉기 정령 소환 (30초, 원딜, 공격 시 슬로우)",Summon Frost Elemental (30s, Ranged, Slow on attack).,冷気精霊を召喚（30秒、遠距離、攻撃時にスロウ）。
heroes.iskierpyria.skills.frost_elemental.name,"냉기의 정령",Frost Elemental,冷気の精霊
heroes.iskierpyria.skills.frost_nova.desc,"8초마다 주변 120px 적 3초 슬로우",Slows enemies within 120px for 3s every 8s.,8秒ごとに周囲 120pxの敵を 3秒間スロウにする。
heroes.iskierpyria.skills.frost_nova.name,"프로스트 노바",Frost Nova,フロストノバ
heroes.iskierpyria.skills.ignite.desc,"화염 속성 공격 피해 30% 증폭 패시브",Passive: Increases Fire damage by 30%.,パッシブ：火炎属性攻撃のダメージを 30%増幅。
heroes.iskierpyria.skills.ignite.name,"점화",Ignite,点火
heroes.iskierpyria.skills.meteor.desc,"15초마다 단일 ATK×12 + 주변 50% 피해",Deals ATK x 12 damage to a Target and 50% splash damage every 15s.,15秒ごとに単体に攻撃力 x 12 + 周囲に 50%のダメージ。
